ISIN,Company,BBG Ticker,Sector,Industry,Country,Region,MarketCap,SustainEx,NZAF,MSCI,ENERGY_CONSUMP_INTEN_USD,WATER_WD_INTEN_RECENT,CARBON_EMISSIONS_SCOPE_12_INTEN,HAS_COMMITTED_TO_SBTI_TARGET,HAS_SBTI_APPROVED_TARGET,SUST_BIODIV_PROTECT_POL_VALUE,TARGET_SUMMARY_CUM_CHANGE_2030,SBTI_NET_ZERO_TARGET_STATUS,Average Employee Length of service,Microfinance Impact Investment,Supplier ESG training
US1264081035,Csx Corporation,US1264081035,Industrials,Ind. Goods & Services,United States,N America,64139.18,,,,1.21,150.07,286.77,0.00,1.00,0.00,-6.90,0.00,15.00,,0.00
US1270971039,Coterra Energy Inc.,US1270971039,Energy,Energy,United States,N America,18400.54,,,,0.40,,180.32,0.00,0.00,0.00,,0.00,,,1.00
CA5592224011,Magna International Inc.,CA5592224011,Consumer Discretion,Automobiles & Parts,Canada,N America,11893.90,,,,0.13,150.18,46.31,0.00,1.00,0.00,-29.84,1.00,,,1.00
US8326964058,The J. M. Smucker Company,US8326964058,Consumer Staples,"Food, Bev. and Tobacc",United States,N America,12430.38,,,,0.20,332.97,45.00,0.00,1.00,0.00,-1.58,0.00,,,1.00
US8425871071,The Southern Company,US8425871071,Utilities,Utilities,United States,N America,97271.19,,,,6.21,110789.17,3148.14,0.00,0.00,0.00,-4.27,0.00,15.00,,0.00
US78409V1044,S&P Global Inc.,US78409V1044,Financials,Financial Services,United States,N America,163389.10,,,,0.01,5.46,2.37,0.00,1.00,0.00,6.30,0.00,,,1.00
US5732841060,"Martin Marietta Materials, Inc.",US5732841060,Industrials,Construction & Mats,United States,N America,33302.67,,,,0.80,,849.70,1.00,0.00,0.00,2.77,1.00,,,0.00
US2371941053,"Darden Restaurants, Inc.",US2371941053,Consumer Discretion,Travel & Leisure,United States,N America,18414.67,,,,0.06,1692.60,79.90,0.00,0.00,0.00,,0.00,,,0.00
CA05534B7604,Bce Inc.,CA05534B7604,Telecommunications,Telecommunications,Canada,N America,30106.43,,,,0.13,60.39,13.70,0.00,1.00,0.00,-1.57,0.00,,,1.00
US8636671013,Stryker Corporation,US8636671013,Health Care,Health Care,United States,N America,135483.60,,,,0.04,,10.27,1.00,0.00,0.00,7.96,0.00,,,0.00
US0320951017,Amphenol Corporation,US0320951017,Technology,Technology,United States,N America,78953.13,,,,0.08,,32.31,0.00,0.00,0.00,7.73,0.00,,,1.00
US3030751057,Factset Research Systems Inc.,US3030751057,Financials,Financial Services,United States,N America,17377.04,,,,0.02,,6.45,0.00,0.00,0.00,6.78,0.00,,,0.00
US0010551028,Aflac Incorporated,US0010551028,Financials,Insurance,United States,N America,63428.57,,,,0.00,,0.60,0.00,0.00,0.00,-28.37,0.00,,,0.00
US25746U1097,"Dominion Energy, Inc.",US25746U1097,Utilities,Utilities,United States,N America,47165.11,,,,10.16,6192081.34,1959.10,0.00,0.00,0.00,-81.17,0.00,,,0.00
HK0006000050,Power Assets Holdings Limited,HK0006000050,Utilities,Utilities,Hong Kong,Em APAC,13724.19,,,,103.37,6699617.47,220.67,0.00,0.00,0.00,-61.54,0.00,,,1.00
FR0000131104,Bnp Paribas Sa,FR0000131104,Financials,Banks,France,W Europe,76926.68,,,,0.01,15.61,1.34,1.00,0.00,0.00,-0.03,0.00,11.70,2.91,0.00
CH0012221716,Abb Ltd,CH0012221716,Industrials,Ind. Goods & Services,Switzerland,W Europe,108118.24,,,,0.05,74.46,4.42,0.00,1.00,0.00,-1.15,1.00,,,1.00
FR0000120628,Axa Sa,FR0000120628,Financials,Insurance,France,W Europe,84531.12,,,,0.00,4.18,0.68,1.00,0.00,0.00,8.25,0.00,10.60,,1.00
JP3188200004,Otsuka Corporation,JP3188200004,Technology,Technology,Japan,APAC,8920.60,,,,0.00,18.17,2.25,0.00,1.00,0.00,3.62,0.00,17.40,,0.00
AU000000ALL7,Aristocrat Leisure Limited,AU000000ALL7,Consumer Discretion,Travel & Leisure,Australia,APAC,24854.47,,,,0.03,,7.35,0.00,1.00,0.00,-23.91,1.00,,,1.00
GB0006731235,Associated British Foods Plc,GB0006731235,Consumer Staples,"Food, Bev. and Tobacc",United Kingdom,W Europe,22703.52,,,,1.09,35675.97,120.92,0.00,0.00,0.00,-58.36,0.00,,,1.00
GB0030913577,Bt Group Plc,GB0030913577,Telecommunications,Telecommunications,United Kingdom,W Europe,18754.28,,,,0.10,59.94,26.55,0.00,1.00,0.00,-51.54,1.00,,,1.00
JP3142500002,"Idemitsu Kosan Co.,Ltd.",JP3142500002,Energy,Energy,Japan,APAC,10081.06,,,,0.83,20510.87,202.80,0.00,0.00,0.00,,0.00,,,0.00
GB0000811801,Barratt Redrow Plc,GB0000811801,Consumer Discretion,Consumer Prod & Svs,United Kingdom,W Europe,8752.67,,,,0.02,60.02,4.30,0.00,1.00,0.00,-14.30,1.00,,,1.00
US0079031078,"Advanced Micro Devices, Inc.",US0079031078,Technology,Technology,United States,N America,271727.10,,,,0.01,,4.01,1.00,1.00,0.00,7.61,0.00,,,1.00
IT0004056880,Amplifon S.P.A.,IT0004056880,Health Care,Health Care,Italy,W Europe,6791.10,,,,0.03,59.28,7.10,1.00,0.00,0.00,5.92,0.00,,,0.00
US22160K1051,Costco Wholesale Corporation,US22160K1051,Consumer Discretion,Retailers,United States,N America,393905.70,,,,0.03,66.13,12.50,0.00,0.00,0.00,,0.00,9.00,,1.00
JP3538800008,Tdk Corporation,JP3538800008,Industrials,Ind. Goods & Services,Japan,APAC,24574.16,,,,0.02,1015.19,133.30,1.00,0.00,1.00,-92.60,1.00,17.90,,1.00
GB00B1XZS820,Anglo American Plc,GB00B1XZS820,Basic Materials,Basic Resources,United Kingdom,W Europe,40135.32,,,,0.72,5444.28,398.78,0.00,0.00,1.00,-32.16,0.00,,,0.00
JP3898400001,Mitsubishi Corporation,JP3898400001,Industrials,Ind. Goods & Services,Japan,APAC,82913.95,,,,0.00,544.34,58.48,0.00,0.00,1.00,8.93,0.00,18.50,,1.00
JP3634600005,Toyota Industries Corporation,JP3634600005,Consumer Discretion,Automobiles & Parts,Japan,APAC,24656.61,,,,0.21,182.47,33.70,1.00,0.00,0.00,7.62,0.00,,,1.00
DE000BAY0017,Bayer Aktiengesellschaft,DE000BAY0017,Health Care,Health Care,Germany,W Europe,28325.24,,,,0.18,1007.18,64.10,0.00,1.00,0.00,-34.31,1.00,11.00,,1.00
GB00B0744B38,Bunzl Public Limited Company,GB00B0744B38,Industrials,Ind. Goods & Services,United Kingdom,W Europe,15231.87,,,,0.03,14.89,8.38,0.00,1.00,0.00,-28.96,1.00,,,0.00
FI0009000681,Nokia Oyj,FI0009000681,Telecommunications,Telecommunications,Finland,W Europe,24549.09,,,,0.04,38.35,17.63,0.00,1.00,0.00,0.00,1.00,11.00,,1.00
FI0009005961,Stora Enso Oyj,FI0009005961,Basic Materials,Basic Resources,Finland,W Europe,10373.12,,,,5.80,37093.10,157.20,0.00,1.00,0.00,-58.26,0.00,,,1.00
TW0002353000,Acer Incorporated,TW0002353000,Technology,Technology,Taiwan,Em APAC,3905.44,,,,0.01,18.15,1.28,0.00,1.00,0.00,2.52,0.00,9.50,,1.00
US5404241086,Loews Corporation,US5404241086,Financials,Insurance,United States,N America,17418.63,,,,0.00,,33.90,0.00,0.00,0.00,,0.00,,,0.00
US0152711091,"Alexandria Real Estate Equities, Inc.",US0152711091,Real Estate,Real Estate,United States,N America,20571.29,,,,0.55,,96.70,0.00,0.00,0.00,-10.00,0.00,,,0.00
HK0285041858,Byd Electronic (International) Company Limited,HK0285041858,Telecommunications,Telecommunications,Hong Kong,Em APAC,9567.37,,,,0.14,575.45,112.90,0.00,0.00,0.00,,0.00,,,0.00
INE006I01046,Astral Limited,INE006I01046,Industrials,Construction & Mats,India,Em APAC,6062.88,,,,0.23,168.55,128.10,0.00,0.00,0.00,,0.00,,,0.00
SE0000202624,Getinge Ab,SE0000202624,Health Care,Health Care,Sweden,W Europe,5545.44,,,,0.03,,9.52,0.00,1.00,0.00,-15.51,1.00,,,1.00
FR0000125338,Capgemini Se,FR0000125338,Technology,Technology,France,W Europe,34323.59,,,,0.01,42.12,3.53,0.00,1.00,0.00,-100.00,1.00,3.70,,1.00
FR0000120172,Carrefour Sa,FR0000120172,Consumer Staples,Drug & Grocery Stores,France,W Europe,11129.55,,,,0.05,87.43,15.02,0.00,1.00,0.00,-87.92,0.00,9.00,,1.00
INE296A01024,Bajaj Finance Limited,INE296A01024,Financials,Financial Services,India,Em APAC,53719.61,,,,0.01,,7.30,0.00,0.00,0.00,,0.00,,,0.00
SE0015961909,Hexagon Aktiebolag,SE0015961909,Technology,Technology,Sweden,W Europe,27359.19,,,,0.02,42.53,7.87,1.00,0.00,0.00,-52.87,1.00,7.00,,0.00
CNE100000866,China Railway Group Limited,CNE100000866,Industrials,Construction & Mats,China,Em APAC,21457.64,,,,0.23,2776.57,96.99,0.00,0.00,0.00,,0.00,,,0.00
US0605051046,Bank Of America Corporation,US0605051046,Financials,Banks,United States,N America,325514.10,,,,0.02,,5.95,0.00,0.00,1.00,-31.04,0.00,8.60,206.85,0.00
JP3486800000,"Daito Trust Construction Co.,Ltd.",JP3486800000,Real Estate,Real Estate,Japan,APAC,7941.63,,,,0.02,52.14,5.99,0.00,1.00,0.00,-48.86,1.00,,,1.00
US1729081059,Cintas Corporation,US1729081059,Industrials,Ind. Goods & Services,United States,N America,83906.19,,,,0.47,1523.97,72.50,0.00,0.00,0.00,,0.00,,,1.00
US3156161024,"F5, Inc.",US3156161024,Technology,Technology,United States,N America,12975.28,,,,0.01,,2.50,0.00,0.00,0.00,7.15,0.00,,,0.00
US09062X1037,Biogen Inc.,US09062X1037,Health Care,Health Care,United States,N America,27439.75,,,,0.05,121.59,9.50,0.00,1.00,0.00,-87.78,1.00,,,0.00
TH0264A10Z04,Bangkok Dusit Medical Services Public Company Limited,TH0264A10Z04,Health Care,Health Care,Thailand,Em APAC,13702.04,,,,0.20,1269.15,62.34,0.00,0.00,0.00,7.57,0.00,,,1.00
US45337C1027,Incyte Corporation,US45337C1027,Health Care,Health Care,United States,N America,12734.57,,,,0.02,48.31,4.30,0.00,0.00,0.00,,0.00,,,0.00
JP3951600000,Unicharm Corporation,JP3951600000,Consumer Staples,Drug & Grocery Stores,Japan,APAC,20996.01,,,,0.14,,71.52,0.00,1.00,0.00,-29.12,0.00,,,1.00
JP3955000009,Yokogawa Electric Corporation,JP3955000009,Industrials,Ind. Goods & Services,Japan,APAC,6770.27,,,,0.12,142.63,20.90,0.00,1.00,1.00,-4.64,0.00,,,1.00
JP3236200006,Keyence Corporation,JP3236200006,Industrials,Ind. Goods & Services,Japan,APAC,111465.02,,,,0.00,,11.70,0.00,0.00,0.00,,0.00,,,0.00
CNE1000000R4,China Citic Bank Corporation Limited,CNE1000000R4,Financials,Banks,China,Em APAC,46514.68,,,,0.01,40.25,3.02,0.00,0.00,0.00,,0.00,,1489.87,0.00
CNE000001LJ2,Huadian Power International Corporation Limited,CNE000001LJ2,Utilities,Utilities,China,Em APAC,7753.61,,,,55.82,15924.84,10903.39,0.00,0.00,0.00,,0.00,,,0.00
CNE000000J28,Dongfang Electric Corporation Limited,CNE000000J28,Energy,Energy,China,Em APAC,6194.46,,,,0.09,402.67,34.41,0.00,0.00,0.00,,0.00,,,0.00
KYG2108Y1052,China Resources Land Limited,KYG2108Y1052,Real Estate,Real Estate,Hong Kong,Em APAC,23580.75,,,,0.04,576.79,16.00,0.00,0.00,0.00,,0.00,,,1.00
